hour,node_id,floor,node_category,node_name,flow
19,MU16g_h,MU,Retail_Combined,MU16g & MU16h,304
19,MU16f,MU,Retail,MU16f,297
19,MU16e,MU,Retail,MU16e,255
19,MU16d,MU,Retail,MU16d,270
19,MU16c,MU,Retail,MU16c,221
19,MU16k,MU,Retail_Kiosk,MU16k,219
19,MU16i,MU,Retail_Kiosk,MU16i,294
19,MU16j,MU,Retail_Kiosk,MU16j,232
19,MU16l,MU,Retail_Kiosk,MU16l,230
19,MU16b,MU,Retail,MU16b,279
19,MU16a,MU,Retail_Kiosk,MU16a,219
19,MU15,MU,Retail,MU15,61
19,MU14,MU,Retail,MU14,70
19,MU13,MU,Retail,MU13,71
19,MU12,MU,Retail,MU12,51
19,MU11,MU,Retail,MU11,25
19,MU10,MU,Retail,MU10,69
19,MU08_MU09,MU,Retail_Combined,MU08 & MU09,109
19,MU07a,MU,Anchor_Retail,MU07a,47
19,MU07b,MU,Anchor_Retail,MU07b,33
19,MU06,MU,Retail,MU06,36
19,MU05,MU,Retail,MU05,50
19,MU04,MU,Retail,MU04,86
19,MU03b,MU,Retail,MU03b,59
19,MU02b_MU03a,MU,Retail_Combined,MU02b & MU03a,33
19,MU02a,MU,Retail,MU02a,30
19,MU01,MU,Anchor_Retail,MU01,14
19,MU01b,MU,Retail,MU01b,2
19,MU01c,MU,Retail,MU01c,3
19,MU-F-WC-NW,MU,Facility_Restroom,Restroom / Accessible WC,41
19,MU-F-WC-CENTER,MU,Facility_Restroom,Restroom / Accessible WC,52
19,MU-F-WC-SW,MU,Facility_Restroom,Restroom / Accessible WC,28
19,MU-F-ELEV-CENTER,MU,Facility_Elevator,Elevator,47
19,MU-F-ESC-WEST,MU,Facility_Escalator,Escalator,23
19,MU-F-ESC-CENTER-W,MU,Facility_Escalator,Escalator,46
19,MU-F-ESC-CENTER-N,MU,Facility_Escalator,Escalator,12
19,MU-F-ESC-CENTER-S,MU,Facility_Escalator,Escalator,20
19,MU-F-ESC-EAST-W,MU,Facility_Escalator,Escalator,15
19,MU-F-ESC-EAST-E,MU,Facility_Escalator,Escalator,17
19,MU-F-ESC-SW,MU,Facility_Escalator,Escalator,32
19,MU-A-NW,MU,Unknown_Area,Unlabeled northwest anchor area,39
